0,0.42889,-0.48843,0.059539,0,0,0.093616,-0.51619,0.42257,0
0,0.42806,-0.48864,0.060579,0,0,0.091049,-0.51352,0.42247,0
0,0.42722,-0.48886,0.061644,0,0,0.08841,-0.51076,0.42235,0
0,0.42635,-0.48908,0.062734,0,0,0.085698,-0.50791,0.42221,0
0,0.42546,-0.48931,0.063849,0,0,0.082912,-0.50497,0.42206,0
0,0.42455,-0.48954,0.064988,0,0,0.08005,-0.50195,0.4219,0
0,0.42362,-0.48978,0.066152,0,0,0.077113,-0.49882,0.42171,0
0,0.42267,-0.49001,0.06734,0,0,0.0741,-0.49561,0.42151,0
0,0.4217,-0.49026,0.068553,0,0,0.071008,-0.49229,0.42128,0
0,0.42071,-0.4905,0.06979,0,0,0.067837,-0.48888,0.42104,0
0,0.4197,-0.49075,0.071051,0,0,0.064586,-0.48536,0.42077,0
0,0.4197,-0.49075,0.071051,0,0,0.071492,-0.49982,0.42833,0
-0.047831,0.3979,-0.49563,0.097731,0.047831,-0.047831,0.16352,-0.58536,0.42184,0.047831
-0.09098,0.36957,-0.50075,0.13118,0.09098,-0.09098,0.27637,-0.73196,0.45559,0.09098
-0.12522,0.3354,-0.50523,0.16983,0.12522,-0.12522,0.42028,-0.956,0.53572,0.12522
-0.14721,0.29657,-0.50829,0.21172,0.14721,-0.14721,0.55786,-1.1739,0.61602,0.14721
-0.15478,0.25469,-0.50938,0.25469,0.15478,-0.15478,0.63267,-1.2653,0.63267,0.15478
-0.14721,0.21172,-0.50829,0.29657,0.14721,-0.14721,0.61602,-1.1739,0.55786,0.14721
-0.12522,0.16983,-0.50523,0.3354,0.12522,-0.12522,0.53572,-0.956,0.42028,0.12522
-0.09098,0.13118,-0.50075,0.36957,0.09098,-0.09098,0.45559,-0.73196,0.27637,0.09098
-0.047831,0.097731,-0.49563,0.3979,0.047831,-0.047831,0.42184,-0.58536,0.16352,0.047831
-1.90E-17,0.071051,-0.49075,0.4197,1.90E-17,-1.90E-17,0.42833,-0.49982,0.071492,1.90E-17
0,0.071051,-0.49075,0.4197,0,0,0.42077,-0.48536,0.064586,0
0,0.06979,-0.4905,0.42071,0,0,0.42104,-0.48888,0.067837,0
0,0.068553,-0.49026,0.4217,0,0,0.42128,-0.49229,0.071008,0
0,0.06734,-0.49001,0.42267,0,0,0.42151,-0.49561,0.0741,0
0,0.066152,-0.48978,0.42362,0,0,0.42171,-0.49882,0.077113,0
0,0.064988,-0.48954,0.42455,0,0,0.4219,-0.50195,0.08005,0
0,0.063849,-0.48931,0.42546,0,0,0.42206,-0.50497,0.082912,0
0,0.062734,-0.48908,0.42635,0,0,0.42221,-0.50791,0.085698,0
0,0.061644,-0.48886,0.42722,0,0,0.42235,-0.51076,0.08841,0
0,0.060579,-0.48864,0.42806,0,0,0.42247,-0.51352,0.091049,0
0,0.059539,-0.48843,0.42889,0,0,0.42257,-0.51619,0.093616,0
0.047831,0.16352,-0.58536,0.42184,-0.047831,0.047831,0.3979,-0.49563,0.097731,-0.047831
0.09098,0.27637,-0.73196,0.45559,-0.09098,0.09098,0.36957,-0.50075,0.13118,-0.09098
0.12522,0.42028,-0.956,0.53572,-0.12522,0.12522,0.3354,-0.50523,0.16983,-0.12522
0.14721,0.55786,-1.1739,0.61602,-0.14721,0.14721,0.29657,-0.50829,0.21172,-0.14721
0.15478,0.63267,-1.2653,0.63267,-0.15478,0.15478,0.25469,-0.50938,0.25469,-0.15478
0.14721,0.61602,-1.1739,0.55786,-0.14721,0.14721,0.21172,-0.50829,0.29657,-0.14721
0.12522,0.53572,-0.956,0.42028,-0.12522,0.12522,0.16983,-0.50523,0.3354,-0.12522
0.09098,0.45559,-0.73196,0.27637,-0.09098,0.09098,0.13118,-0.50075,0.36957,-0.09098
0.047831,0.42184,-0.58536,0.16352,-0.047831,0.047831,0.097731,-0.49563,0.3979,-0.047831
1.90E-17,0.42833,-0.49982,0.071492,-1.90E-17,1.90E-17,0.071051,-0.49075,0.4197,-1.90E-17
